,X,Label,Area,Major,Minor,ratio,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,id,side,batch,cam.id,species,sex
191,68,CAM046028_d.JPG,71.592,15.176,6.007,2.526385883,173.799,0.526,16.49,1008,1071,178.558,6.612,2.527,0.396,0.962,1243,815,CAM046028,left,input2,CAM046028,arm,female
168,40,CAM046034_d.JPG,100.476,17.329,7.382,2.347466811,5.264,0.517,19.657,849,842,178.536,8.097,2.347,0.426,0.964,998,774,CAM046034,left,input2,CAM046034,arm,female
15,29,CAM046041_d.JPG,84.812,16.188,6.671,,11.774,0.428,17.587,229,1048,14.157,7.578,2.427,0.412,0.938,934,801,CAM046041,right,input1,CAM046041,NA,
119,193,CAM046035_d.JPG,81.938,15.669,6.658,2.353409432,1.138,0.511,16.699,235,1074,7.06,7.246,2.353,0.425,0.961,897,925,CAM046035,right,input1,CAM046035,arm,female
159,29,CAM046038_d.JPG,85.499,15.671,6.947,2.255793868,10.818,0.502,16.827,1307,1313,15.118,7.626,2.256,0.443,0.962,1546,980,CAM046038,left,input2,CAM046038,arm,female
18,35,CAM046100_d.JPG,67.77,14.682,5.877,,9.335,0.481,15.725,187,1202,12.917,6.459,2.498,0.4,0.944,788,1006,CAM046100,right,input1,CAM046100,NA,
14,27,CAM046039_d.JPG,88.536,15.864,7.106,2.232479595,22.07,0.37,18.158,288,1193,28.907,8.057,2.232,0.448,0.928,964,774,CAM046039,right,input1,CAM046039,arm,female
37,68,CAM046039_d.JPG,86.792,15.685,7.045,2.226401703,22.486,0.505,17.628,280,1194,29.454,7.792,2.226,0.449,0.951,943,777,CAM046039,right,input1,CAM046039,arm,female
158,28,CAM046040_d.JPG,85.5,15.138,7.191,2.105131414,179.12,0.562,16.381,1078,924,3.286,8.031,2.105,0.475,0.952,1306,611,CAM046040,left,input2,CAM046040,arm,
54,96,CAM046044_d.JPG,88.715,15.821,7.14,2.215826331,8.413,0.57,16.684,261,1169,7.823,7.745,2.216,0.451,0.972,913,972,CAM046044,right,input1,CAM046044,arm,male
141,9,CAM046045_d.JPG,90.972,16.731,6.923,2.416726853,173.762,0.501,18.552,1185,1145,177.707,7.576,2.417,0.414,0.95,1435,872,CAM046045,left,input2,CAM046045,arm,female
67,111,CAM046046_d.JPG,83.347,15.238,6.964,2.188110281,10.286,0.513,16.268,327,1201,13.98,7.774,2.188,0.457,0.921,969,971,CAM046046,right,input1,CAM046046,arm,
134,1,CAM046047_d.JPG,86.486,15.871,6.938,2.287546843,0.678,0.557,17.04,1231,860,176.547,7.771,2.288,0.437,0.951,1362,807,CAM046047,left,input2,CAM046047,arm,female
98,165,CAM046048_d.JPG,73.818,15.445,6.085,2.53820871,8.207,0.497,17.043,425,1105,11.828,6.859,2.538,0.394,0.955,1064,908,CAM046048,right,input1,CAM046048,arm,male
121,197,CAM046049_d.JPG,86.125,15.988,6.859,2.330952034,13.026,0.559,17.017,420,1032,14.946,7.676,2.331,0.429,0.962,1079,773,CAM046049,right,input1,CAM046049,arm,male
189,66,CAM046050_d.JPG,85.378,15.852,6.858,2.311461067,161.174,0.567,17.025,1170,809,159.427,7.436,2.312,0.433,0.971,1236,775,CAM046050,left,input2,CAM046050,arm,female
112,184,CAM046054_d.JPG,88.188,16.414,6.841,2.399356819,8.256,0.506,17.497,254,969,10.861,7.54,2.4,0.417,0.944,953,773,CAM046054,right,input1,CAM046054,arm,male
86,149,CAM046057_d.JPG,97.331,17.329,7.151,2.423297441,8.437,0.433,19.064,192,1006,13.782,8.025,2.423,0.413,0.91,931,748,CAM046057,right,input1,CAM046057,arm,female
137,4,CAM046061_d.JPG,97.952,16.763,7.44,2.253091398,178.99,0.588,17.125,1215,990,172.159,7.953,2.253,0.444,0.961,1354,924,CAM046061,left,input2,CAM046061,arm,female
155,25,CAM046066_d.JPG,81.528,15.995,6.49,2.464560863,172.513,0.519,17.374,1213,997,167.885,6.988,2.465,0.406,0.964,1283,949,CAM046066,left,input2,CAM046066,arm,female
23,41,CAM046067_d.JPG,100.483,17.083,7.489,2.281078916,15.536,0.516,18.471,389,1172,20.191,8.135,2.281,0.438,0.968,1090,842,CAM046067,right,input1,CAM046067,arm,female
46,82,CAM046067_d.JPG,98.996,16.865,7.474,2.256489162,15.928,0.552,18.05,379,1171,20.167,8.102,2.257,0.443,0.97,1069,841,CAM046067,right,input1,CAM046067,arm,female
80,136,CAM046068_d.JPG,88.528,16.607,6.787,2.446883748,17.718,0.536,17.49,386,1040,20.154,7.461,2.447,0.409,0.967,1047,735,CAM046068,right,input1,CAM046068,arm,male
113,185,CAM046069_d.JPG,98.619,17.087,7.349,2.325078242,8.734,0.532,18.071,360,1072,11.853,8.114,2.325,0.43,0.96,1081,834,CAM046069,right,input1,CAM046069,arm,female
120,194,CAM046070_d.JPG,75.695,15.133,6.369,2.376040195,6.231,0.551,16.349,340,1120,11.79,6.993,2.376,0.421,0.971,983,932,CAM046070,right,input1,CAM046070,arm,female
38,70,CAM046041_d.JPG,83.814,15.977,6.679,,12.245,0.461,17.269,221,1047,14.124,7.507,2.392,0.418,0.948,893,805,CAM046041,right,input1,CAM046041,NA,
167,39,CAM046071_d.JPG,84.247,16.501,6.501,2.538224888,178.978,0.543,17.614,1208,1134,171.086,7.399,2.538,0.394,0.965,1323,1090,CAM046071,left,input2,CAM046071,arm,female
108,177,CAM046072_d.JPG,86.248,16.082,6.828,2.355301699,17.438,0.541,16.939,405,1184,19.346,7.52,2.355,0.425,0.958,1046,879,CAM046072,right,input1,CAM046072,arm,female
41,76,CAM046100_d.JPG,66.474,14.378,5.887,,10.242,0.544,15.632,175,1215,13.9,6.461,2.443,0.409,0.958,804,1006,CAM046100,right,input1,CAM046100,NA,
85,148,CAM046073_d.JPG,104.993,17.087,7.823,2.184200435,11.037,0.523,19.123,215,1134,15.972,8.506,2.184,0.458,0.962,948,853,CAM046073,right,input1,CAM046073,arm,female
187,64,CAM046074_d.JPG,89.627,17.016,6.706,2.537429168,170.691,0.522,18.508,1242,992,166.423,7.482,2.537,0.394,0.946,1317,953,CAM046074,left,input2,CAM046074,arm,female
97,164,CAM046075_d.JPG,88.278,16.073,6.993,2.298441298,23.902,0.564,17.044,453,1107,27.878,7.678,2.298,0.435,0.961,1094,724,CAM046075,right,input1,CAM046075,arm,female
131,213,CAM046076_d.JPG,88.271,16.019,7.016,2.283209806,13.121,0.556,17.122,315,1058,14.851,7.691,2.283,0.438,0.963,980,792,CAM046076,right,input1,CAM046076,arm,female
198,6,CAM046077_d.JPG,103.945,17.727,7.466,2.374363782,0.935,0.565,19.256,413,1147,174.6,8.249,2.374,0.421,0.973,1022,891,CAM046077,right,input3,CAM046077,arm,male
9,17,CAM046078_d.JPG,91.914,16.277,7.19,2.263838665,6.272,0.529,17.563,253,1145,12.931,7.863,2.264,0.442,0.952,931,932,CAM046078,right,input1,CAM046078,arm,female
32,58,CAM046078_d.JPG,87.695,15.782,7.075,2.230671378,6.524,0.532,16.919,248,1147,12.673,7.885,2.231,0.448,0.954,879,937,CAM046078,right,input1,CAM046078,arm,female
152,22,CAM046079_d.JPG,92.315,16.167,7.27,2.223796424,159.262,0.567,17.465,1104,893,155.005,7.847,2.224,0.45,0.972,1190,871,CAM046079,left,input2,CAM046079,arm,female
77,127,CAM046080_d.JPG,66.158,14.051,5.995,2.343786489,3.926,0.51,15.269,324,1048,7.064,6.822,2.344,0.427,0.95,962,895,CAM046080,right,input1,CAM046080,arm,female
194,2,CAM046081_d.JPG,62.642,13.1,6.088,2.151773982,13.364,0.535,14.151,283,1093,19.749,6.321,2.152,0.465,0.943,850,851,CAM046081,right,input3,CAM046081,arm,male
52,93,CAM046281_d.JPG,93.455,17.086,6.964,,13.457,0.525,18.356,135,1196,17.228,7.588,2.453,0.408,0.962,880,924,CAM046281,right,input1,CAM046281,hyb,female
61,103,CAM046084_d.JPG,88.228,16.154,6.954,2.32297958,9.435,0.519,18.058,351,1081,14.137,7.807,2.323,0.431,0.963,1064,849,CAM046084,right,input1,CAM046084,arm,female
186,62,CAM046089_d.JPG,87.99,15.949,7.024,2.270643508,171.947,0.546,17.492,1153,892,166.501,7.645,2.271,0.44,0.968,1238,846,CAM046089,left,input2,CAM046089,arm,female
129,211,CAM046092_d.JPG,68.659,13.883,6.297,2.204700651,167.851,0.559,15.177,200,1185,165.844,6.904,2.205,0.454,0.957,686,1056,CAM046092,right,input1,CAM046092,arm,male
181,54,CAM046096_d.JPG,81.928,15.296,6.82,2.242815249,172.784,0.584,16.48,1288,902,170.313,7.402,2.243,0.446,0.972,1345,845,CAM046096,left,input2,CAM046096,arm,female
172,44,CAM046097_d.JPG,89.234,16.391,6.932,2.364541258,2.893,0.548,17.397,1146,1227,8.008,7.696,2.365,0.423,0.97,1350,905,CAM046097,left,input2,CAM046097,arm,female
195,3,CAM046105_d.JPG,101.587,16.836,7.682,2.191616766,174.115,0.573,17.606,430,1089,167.756,8.844,2.192,0.456,0.955,1030,878,CAM046105,right,input3,CAM046105,arm,female
190,67,CAM046108_d.JPG,73.579,14.438,6.489,2.224996147,165.574,0.555,15.538,1341,1080,162.584,7.047,2.225,0.449,0.971,1417,1036,CAM046108,left,input2,CAM046108,arm,female
106,173,CAM046109_d.JPG,80.612,15.31,6.704,2.283711217,13.364,0.548,16.849,191,1219,17.496,7.382,2.284,0.438,0.97,830,957,CAM046109,right,input1,CAM046109,arm,male
192,69,CAM046113_d.JPG,77.987,15.179,6.542,2.320238459,179.378,0.565,16.141,1174,1321,3.335,7.257,2.32,0.431,0.956,1398,1035,CAM046113,left,input2,CAM046113,arm,male
62,105,CAM046267_d.JPG,88.22,16.507,6.805,,12.91,0.56,17.644,114,1224,15.945,7.316,2.426,0.412,0.969,793,951,CAM046267,right,input1,CAM046267,NA,
